Month,DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,UniqueCarrier,CRSElapsedTime,Origin,Dest,Distance,ArrDelay15,Origin_Lat,Origin_Lon,Origin_State,Dest_Lat,Dest_Lon,Dest_State,Origin_dayl,Dest_dayl,Origin_prcp,Dest_prcp,Origin_srad,Dest_srad,Origin_swe,Dest_swe,Origin_tmax,Dest_tmax,Origin_tmin,Dest_tmin,Origin_vp,Dest_vp
1,10,4,1235,1334,EV,59,ATL,CAE,191,False,33.64044444,-84.42694444,GA,33.93884,-81.11953944,SC,35596.8,35596.8,12.0,7.0,105.6,131.2,0.0,0.0,19.0,21.5,13.5,14.0,1560.0,1600.0
2,25,1,2030,2218,DL,108,ATL,PBI,545,False,33.64044444,-84.42694444,GA,26.68316194,-80.09559417,FL,40089.6,40780.8,0.0,0.0,387.2,355.2,0.0,0.0,17.5,28.5,2.0,19.5,720.0,2280.0
9,18,4,1207,1324,EV,77,ATL,ROA,357,False,33.64044444,-84.42694444,GA,37.32546833,-79.97542833,VA,43545.6,43545.6,0.0,0.0,348.8,425.6,0.0,0.0,25.0,26.0,17.0,11.5,1920.0,1360.0
4,17,4,1850,1952,DL,62,ATL,TLH,223,False,33.64044444,-84.42694444,GA,30.39652778,-84.35033333,FL,46656.0,46310.4,0.0,0.0,556.8,572.8,0.0,0.0,23.0,24.0,4.0,2.5,800.0,720.0
5,11,7,1419,1614,FL,115,ATL,DTW,594,False,33.64044444,-84.42694444,GA,42.21205889,-83.34883583,MI,49075.2,51494.4,27.0,0.0,275.2,326.4,0.0,0.0,25.5,17.0,15.5,8.5,1760.0,1120.0
6,29,7,2030,2221,FL,111,ATL,DCA,547,True,33.64044444,-84.42694444,GA,38.85208333,-77.03772222,VA,51148.8,52876.8,5.0,8.0,281.6,284.8,0.0,0.0,30.5,32.5,20.0,21.5,2320.0,2560.0
9,10,3,1000,1237,FL,157,ATL,BOS,946,False,33.64044444,-84.42694444,GA,42.3643475,-71.00517917,MA,44582.4,44928.0,0.0,0.0,355.2,345.6,0.0,0.0,30.0,22.0,21.0,12.0,2480.0,1400.0
6,21,6,1215,1309,EV,54,ATL,GSP,153,True,33.64044444,-84.42694444,GA,34.89566722,-82.21885833,SC,51148.8,51494.4,2.0,0.0,438.4,412.8,0.0,0.0,30.5,30.0,18.0,18.0,2040.0,1880.0
4,27,7,2110,2256,FL,106,ATL,MIA,595,True,33.64044444,-84.42694444,GA,25.79325,-80.29055556,FL,47692.8,46656.0,15.0,0.0,256.0,368.0,0.0,0.0,24.5,28.0,16.0,21.0,1800.0,2480.0
6,14,6,1430,1540,DL,130,ATL,HOU,696,True,33.64044444,-84.42694444,GA,29.64541861,-95.27888889,TX,51148.8,50112.0,0.0,0.0,368.0,432.0,0.0,0.0,31.0,33.5,21.0,24.0,2480.0,2320.0
11,22,6,1705,1905,DL,120,ATL,BUF,712,False,33.64044444,-84.42694444,GA,42.94052472,-78.73216667,NY,36288.0,33177.6,0.0,1.0,316.8,182.4,0.0,0.0,8.0,-2.0,-7.5,-8.5,360.0,320.0
