Month,DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,UniqueCarrier,CRSElapsedTime,Origin,Dest,Distance,ArrDelay15,Origin_Lat,Origin_Lon,Origin_State,Dest_Lat,Dest_Lon,Dest_State,Origin_dayl,Dest_dayl,Origin_prcp,Dest_prcp,Origin_srad,Dest_srad,Origin_swe,Dest_swe,Origin_tmax,Dest_tmax,Origin_tmin,Dest_tmin,Origin_vp,Dest_vp
3,30,7,820,930,MQ,70,DFW,LIT,304,True,32.89595056,-97.0372,TX,34.72939611,-92.22424556,AR,44236.8,44236.8,0.0,11.0,409.6,208.0,0.0,0.0,28.5,16.0,15.0,8.5,1720.0,1120.0
7,12,6,1650,1800,AA,190,DFW,LAX,1235,False,32.89595056,-97.0372,TX,33.94253611,-118.4080744,CA,50457.6,50803.2,0.0,0.0,409.6,425.6,0.0,0.0,38.0,26.5,25.5,19.0,2800.0,840.0
12,16,2,1252,1513,UA,141,DFW,ORD,802,True,32.89595056,-97.0372,TX,41.979595,-87.90446417,IL,35251.2,32140.8,0.0,0.0,121.6,160.0,0.0,24.0,0.0,-8.0,-5.0,-14.5,440.0,200.0
9,10,3,1955,2310,MQ,135,DFW,CVG,812,False,32.89595056,-97.0372,TX,39.04614278,-84.6621725,KY,44236.8,44582.4,22.0,0.0,140.8,393.6,0.0,0.0,26.5,24.0,22.0,11.0,2640.0,1320.0
6,30,1,2045,2130,AA,165,DFW,LAS,1055,True,32.89595056,-97.0372,TX,36.08036111,-115.1523333,NV,50803.2,51840.0,0.0,0.0,483.2,448.0,0.0,0.0,33.5,43.5,19.5,28.5,2080.0,1520.0
7,7,1,725,750,AA,145,DFW,PHX,868,False,32.89595056,-97.0372,TX,33.43416667,-112.0080556,AZ,50803.2,50803.2,0.0,0.0,412.8,432.0,0.0,0.0,36.5,42.0,24.0,27.5,2840.0,1440.0
7,21,1,910,1240,MQ,150,DFW,GRR,931,False,32.89595056,-97.0372,TX,42.88081972,-85.52276778,MI,49766.4,52876.8,0.0,0.0,419.2,377.6,0.0,0.0,38.0,28.5,25.0,18.0,2600.0,2080.0
10,31,5,1250,1350,AA,120,DFW,DEN,641,False,32.89595056,-97.0372,TX,39.85840806,-104.6670019,CO,38361.6,36979.2,0.0,0.0,313.6,326.4,0.0,0.0,27.5,23.5,13.5,2.5,1560.0,720.0
1,27,7,850,1225,MQ,155,DFW,PIT,1068,False,32.89595056,-97.0372,TX,40.49146583,-80.23287083,PA,36979.2,35251.2,0.0,1.0,361.6,204.8,0.0,4.0,18.0,-0.5,0.0,-6.5,600.0,360.0
4,22,2,850,1230,MQ,160,DFW,PIT,1068,False,32.89595056,-97.0372,TX,40.49146583,-80.23287083,PA,47001.6,48384.0,0.0,0.0,364.8,403.2,0.0,0.0,30.5,21.0,20.0,9.5,2320.0,1200.0
11,17,1,1855,2005,MQ,70,DFW,LIT,304,True,32.89595056,-97.0372,TX,34.72939611,-92.22424556,AR,36633.6,36288.0,0.0,0.0,329.6,291.2,0.0,0.0,23.5,16.0,5.0,1.5,880.0,680.0
2,9,6,655,835,AA,100,DFW,BNA,631,False,32.89595056,-97.0372,TX,36.12447667,-86.67818222,TN,38361.6,37670.4,0.0,0.0,390.4,329.6,0.0,0.0,21.0,13.5,2.0,1.0,720.0,640.0
4,2,3,750,900,AA,190,DFW,SNA,1205,False,32.89595056,-97.0372,TX,33.67565861,-117.8682225,CA,44582.4,44582.4,0.0,0.0,281.6,380.8,0.0,0.0,19.0,19.0,11.5,9.5,1360.0,1200.0
12,3,3,1130,1235,AA,125,DFW,DEN,641,False,32.89595056,-97.0372,TX,39.85840806,-104.6670019,CO,35596.8,33523.2,0.0,0.0,316.8,195.2,0.0,0.0,22.0,6.5,3.5,-6.0,800.0,400.0
12,21,7,1735,1935,AA,180,DFW,SLC,988,True,32.89595056,-97.0372,TX,40.78838778,-111.9777731,UT,35251.2,32832.0,0.0,0.0,288.0,227.2,0.0,16.0,8.5,0.5,-6.0,-9.0,400.0,320.0
2,2,6,1545,1700,AA,195,DFW,SNA,1205,True,32.89595056,-97.0372,TX,33.67565861,-117.8682225,CA,37670.4,37324.8,0.0,0.0,352.0,307.2,0.0,0.0,19.0,16.5,3.0,6.5,760.0,960.0
2,22,5,1755,1910,MQ,75,DFW,ICT,328,False,32.89595056,-97.0372,TX,37.64995889,-97.43304583,KS,39744.0,39052.8,0.0,0.0,272.0,204.8,0.0,4.0,9.5,-1.5,0.5,-7.5,640.0,360.0
5,10,6,1330,1730,AA,180,DFW,BWI,1217,False,32.89595056,-97.0372,TX,39.17540167,-76.66819833,MD,49075.2,50457.6,0.0,13.0,438.4,281.6,0.0,0.0,32.0,18.0,19.0,9.0,2200.0,1160.0
1,18,5,1750,1925,MQ,95,DFW,MOB,540,False,32.89595056,-97.0372,TX,30.69141667,-88.24283333,AL,36288.0,36979.2,0.0,0.0,224.0,224.0,0.0,0.0,5.0,13.0,-3.5,5.5,480.0,920.0
1,14,1,1430,1515,AA,105,DFW,ELP,551,True,32.89595056,-97.0372,TX,31.80666667,-106.3778056,TX,36288.0,36288.0,0.0,0.0,336.0,297.6,0.0,0.0,17.5,13.0,-0.5,-0.5,600.0,200.0
6,15,7,1000,1105,AA,65,DFW,IAH,224,False,32.89595056,-97.0372,TX,29.98047222,-95.33972222,TX,51148.8,50112.0,0.0,0.0,390.4,432.0,0.0,0.0,36.0,35.0,25.0,23.5,3160.0,2880.0
5,5,1,730,1050,MQ,140,DFW,CAE,922,False,32.89595056,-97.0372,TX,33.93884,-81.11953944,SC,48384.0,48729.6,0.0,0.0,377.6,448.0,0.0,0.0,24.0,28.5,14.0,14.5,1600.0,1640.0
11,30,7,825,1302,OH,217,DFW,JFK,1391,False,32.89595056,-97.0372,TX,40.63975111,-73.77892556,NY,35942.4,33523.2,0.0,16.0,201.6,156.8,0.0,0.0,14.0,8.0,5.5,-0.5,920.0,600.0
3,22,6,1045,1400,AA,135,DFW,TPA,929,True,32.89595056,-97.0372,TX,27.97547222,-82.53325,FL,43200.0,43200.0,0.0,0.0,419.2,316.8,0.0,0.0,23.5,23.5,9.0,16.5,1160.0,1880.0
3,14,5,915,1020,MQ,65,DFW,LBB,282,False,32.89595056,-97.0372,TX,33.66363889,-101.8227778,TX,42163.2,42163.2,0.0,0.0,470.4,438.4,0.0,0.0,27.5,22.5,8.5,4.5,960.0,320.0
4,14,1,1500,1610,MQ,70,DFW,AMA,313,False,32.89595056,-97.0372,TX,35.2193725,-101.7059272,TX,46310.4,46310.4,0.0,0.0,528.0,534.4,0.0,0.0,19.5,20.0,3.0,-0.5,760.0,200.0
