Month,DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,UniqueCarrier,CRSElapsedTime,Origin,Dest,Distance,ArrDelay15,Origin_Lat,Origin_Lon,Origin_State,Dest_Lat,Dest_Lon,Dest_State,Origin_dayl,Dest_dayl,Origin_prcp,Dest_prcp,Origin_srad,Dest_srad,Origin_swe,Dest_swe,Origin_tmax,Dest_tmax,Origin_tmin,Dest_tmin,Origin_vp,Dest_vp
6,11,3,910,1429,CO,199,LAX,IAH,1379,False,33.94253611,-118.4080744,CA,29.98047222,-95.33972222,TX,51148.8,50112.0,0.0,18.0,396.8,326.4,0.0,0.0,22.5,33.5,16.0,22.5,680.0,2720.0
1,25,5,2115,2358,AS,163,LAX,SEA,954,True,33.94253611,-118.4080744,CA,47.44898194,-122.3093131,WA,36633.6,32486.4,35.0,0.0,134.4,201.6,0.0,0.0,14.5,6.0,9.5,-4.5,1200.0,440.0
7,28,1,1845,2340,OO,175,LAX,OKC,1187,False,33.94253611,-118.4080744,CA,35.39308833,-97.60073389,OK,49420.8,49766.4,0.0,0.0,364.8,448.0,0.0,0.0,24.0,39.0,18.5,23.0,800.0,2800.0
5,15,4,1220,1351,MQ,91,LAX,MRY,267,False,33.94253611,-118.4080744,CA,36.5869825,-121.8429478,CA,49766.4,50457.6,0.0,0.0,547.2,588.8,0.0,0.0,27.5,32.5,15.5,13.5,640.0,560.0
7,7,1,800,915,WN,75,LAX,OAK,337,False,33.94253611,-118.4080744,CA,37.72129083,-122.2207167,CA,50803.2,52185.6,0.0,0.0,464.0,540.8,0.0,0.0,26.0,29.5,17.5,14.5,760.0,600.0
3,1,6,1310,2058,AS,288,LAX,DCA,2311,True,33.94253611,-118.4080744,CA,38.85208333,-77.03772222,VA,40780.8,40089.6,0.0,0.0,134.4,374.4,0.0,0.0,15.0,10.0,12.0,-3.0,1400.0,480.0
9,17,3,1210,1715,AA,185,LAX,DFW,1235,False,33.94253611,-118.4080744,CA,32.89595056,-97.0372,TX,43545.6,43545.6,0.0,0.0,387.2,483.2,0.0,0.0,25.5,27.0,18.5,12.0,800.0,1240.0
9,10,3,1221,1342,OO,81,LAX,SMF,373,False,33.94253611,-118.4080744,CA,38.69542167,-121.5907669,CA,44582.4,44582.4,0.0,0.0,355.2,441.6,0.0,0.0,23.5,31.0,17.5,10.5,760.0,480.0
12,9,2,1430,1725,WN,115,LAX,ELP,714,False,33.94253611,-118.4080744,CA,31.80666667,-106.3778056,TX,35251.2,35942.4,0.0,4.0,265.6,204.8,0.0,0.0,20.0,14.0,9.5,-1.0,800.0,280.0
5,5,1,2005,2055,MQ,50,LAX,SAN,109,True,33.94253611,-118.4080744,CA,32.73355611,-117.1896567,CA,48729.6,48384.0,0.0,0.0,204.8,243.2,0.0,0.0,18.5,18.0,14.5,14.0,1360.0,640.0
8,26,2,600,851,OO,111,LAX,ABQ,677,False,33.94253611,-118.4080744,CA,35.04022222,-106.6091944,NM,46310.4,46310.4,0.0,0.0,464.0,444.8,0.0,0.0,27.0,31.0,18.5,15.0,800.0,1400.0
1,12,6,1059,1153,OO,54,LAX,PSP,110,False,33.94253611,-118.4080744,CA,33.82921556,-116.5062531,CA,35596.8,35596.8,0.0,0.0,294.4,297.6,0.0,0.0,22.5,22.5,10.5,6.5,1280.0,960.0
11,10,1,1825,1945,WN,80,LAX,SMF,373,True,33.94253611,-118.4080744,CA,38.69542167,-121.5907669,CA,36979.2,35942.4,0.0,0.0,220.8,220.8,0.0,0.0,19.5,18.0,12.0,5.5,600.0,920.0
12,13,6,1635,1745,WN,70,LAX,LAS,236,True,33.94253611,-118.4080744,CA,36.08036111,-115.1523333,NV,35251.2,34560.0,0.0,0.0,172.8,220.8,0.0,0.0,16.0,16.0,10.0,5.5,1080.0,440.0
8,23,6,30,545,CO,195,LAX,IAH,1379,False,33.94253611,-118.4080744,CA,29.98047222,-95.33972222,TX,46656.0,46310.4,0.0,0.0,438.4,419.2,0.0,0.0,25.5,34.0,18.0,23.0,800.0,2800.0
5,10,6,1230,1513,AS,163,LAX,SEA,954,False,33.94253611,-118.4080744,CA,47.44898194,-122.3093131,WA,49075.2,52876.8,0.0,1.0,339.2,342.4,0.0,0.0,20.0,15.0,13.5,8.0,920.0,1080.0
4,12,6,815,1627,US,312,LAX,PHL,2401,False,33.94253611,-118.4080744,CA,39.87195278,-75.24114083,PA,45964.8,46656.0,0.0,3.0,524.8,310.4,0.0,0.0,33.5,23.5,16.5,12.5,1680.0,1440.0
4,2,3,635,1420,AA,285,LAX,FLL,2342,False,33.94253611,-118.4080744,CA,26.07258333,-80.15275,FL,44928.0,44236.8,1.0,0.0,364.8,304.0,0.0,0.0,17.0,28.0,9.5,22.5,1200.0,2720.0
6,3,2,2045,2302,OO,137,LAX,PDX,834,True,33.94253611,-118.4080744,CA,45.58872222,-122.5975,OR,50803.2,55296.0,0.0,19.0,457.6,284.8,0.0,0.0,21.0,18.5,13.5,10.0,560.0,1240.0
1,12,6,1042,1832,UA,290,LAX,IAD,2288,True,33.94253611,-118.4080744,CA,38.94453194,-77.45580972,VA,35596.8,34214.4,0.0,2.0,294.4,220.8,0.0,0.0,22.5,13.0,10.5,2.5,1280.0,720.0
11,6,4,1825,2044,US,79,LAX,PHX,370,False,33.94253611,-118.4080744,CA,33.43416667,-112.0080556,AZ,37324.8,37670.4,0.0,0.0,332.8,281.6,0.0,0.0,26.0,23.0,13.0,8.5,560.0,960.0
8,17,7,610,718,MQ,68,LAX,SAN,109,False,33.94253611,-118.4080744,CA,32.73355611,-117.1896567,CA,47347.2,47347.2,0.0,0.0,422.4,425.6,0.0,0.0,25.5,26.0,18.5,20.5,800.0,920.0
5,5,1,855,1134,OO,159,LAX,SEA,954,False,33.94253611,-118.4080744,CA,47.44898194,-122.3093131,WA,48729.6,52185.6,0.0,0.0,204.8,400.0,0.0,0.0,18.5,17.5,14.5,8.5,1360.0,1120.0
5,15,4,1110,1408,XE,118,LAX,BOI,674,False,33.94253611,-118.4080744,CA,43.56444444,-116.2227778,ID,49766.4,52531.2,0.0,0.0,547.2,457.6,0.0,0.0,27.5,26.0,15.5,11.5,640.0,480.0
5,7,3,1805,2045,DL,340,LAX,HNL,2556,True,33.94253611,-118.4080744,CA,21.31869111,-157.9224072,HI,48729.6,46656.0,0.0,0.0,259.2,390.4,0.0,0.0,18.5,28.5,13.5,22.0,1120.0,1840.0
3,27,4,1140,1245,WN,65,LAX,SJC,308,True,33.94253611,-118.4080744,CA,37.36186194,-121.9290089,CA,43891.2,44236.8,0.0,0.0,368.0,352.0,0.0,0.0,20.5,17.0,12.0,6.5,1400.0,960.0
4,1,2,2230,646,UA,316,LAX,EWR,2454,False,33.94253611,-118.4080744,CA,40.69249722,-74.16866056,NJ,44582.4,44928.0,0.0,6.0,342.4,268.8,0.0,0.0,16.0,17.0,9.0,8.0,1160.0,1080.0
4,13,7,1035,1200,WN,85,LAX,SFO,337,False,33.94253611,-118.4080744,CA,37.61900194,-122.3748433,CA,46310.4,46656.0,0.0,0.0,518.4,524.8,0.0,0.0,35.0,26.5,18.0,9.5,1840.0,1120.0
2,5,2,1015,1230,WN,75,LAX,PHX,370,False,33.94253611,-118.4080744,CA,33.43416667,-112.0080556,AZ,37670.4,37670.4,0.0,0.0,326.4,313.6,0.0,0.0,17.5,13.5,7.0,1.0,1000.0,640.0
11,23,7,830,942,OO,72,LAX,FAT,209,True,33.94253611,-118.4080744,CA,36.77619444,-119.7181389,CA,35942.4,35251.2,0.0,0.0,153.6,268.8,0.0,0.0,18.5,19.0,13.0,4.5,960.0,400.0
2,5,2,730,840,US,70,LAX,LAS,236,False,33.94253611,-118.4080744,CA,36.08036111,-115.1523333,NV,37670.4,37324.8,0.0,0.0,326.4,268.8,0.0,0.0,17.5,10.0,7.0,1.0,1000.0,640.0
2,2,6,1545,1833,DL,108,LAX,SLC,590,False,33.94253611,-118.4080744,CA,40.78838778,-111.9777731,UT,37324.8,35596.8,0.0,0.0,240.0,304.0,0.0,32.0,15.0,1.5,8.5,-8.5,1120.0,320.0
3,5,3,1330,2150,AA,320,LAX,JFK,2475,False,33.94253611,-118.4080744,CA,40.63975111,-73.77892556,NY,41126.4,40435.2,0.0,8.0,300.8,240.0,0.0,0.0,19.0,13.5,11.5,4.5,1360.0,840.0
9,6,6,1540,2045,AA,185,LAX,DFW,1235,False,33.94253611,-118.4080744,CA,32.89595056,-97.0372,TX,44928.0,44928.0,0.0,0.0,396.8,467.2,0.0,0.0,25.5,33.0,18.5,19.0,800.0,1640.0
12,30,2,600,710,WN,70,LAX,SJC,308,False,33.94253611,-118.4080744,CA,37.36186194,-121.9290089,CA,35251.2,34214.4,0.0,0.0,284.8,214.4,0.0,0.0,22.0,14.5,10.0,5.0,1240.0,880.0
6,4,3,1839,1927,OO,48,LAX,PSP,110,False,33.94253611,-118.4080744,CA,33.82921556,-116.5062531,CA,51148.8,50803.2,0.0,0.0,332.8,412.8,0.0,0.0,20.0,31.5,15.0,19.0,640.0,840.0
12,21,7,1550,1910,UA,140,LAX,DEN,862,True,33.94253611,-118.4080744,CA,39.85840806,-104.6670019,CO,34905.6,33177.6,0.0,0.0,265.6,220.8,0.0,4.0,18.5,-5.5,8.5,-18.5,1120.0,160.0
4,6,7,1300,1415,WN,75,LAX,RNO,390,False,33.94253611,-118.4080744,CA,39.49857611,-119.7680647,NV,45273.6,45619.2,0.0,0.0,320.0,377.6,0.0,0.0,18.0,14.0,12.0,3.0,1400.0,320.0
10,11,6,1326,1608,OO,102,LAX,SGU,348,False,33.94253611,-118.4080744,CA,37.09058333,-113.5930556,UT,40435.2,40089.6,0.0,0.0,326.4,316.8,0.0,0.0,20.0,20.5,12.5,7.0,520.0,400.0
11,21,5,945,1213,US,88,LAX,PHX,370,False,33.94253611,-118.4080744,CA,33.43416667,-112.0080556,AZ,36288.0,36288.0,0.0,0.0,294.4,256.0,0.0,0.0,27.0,26.0,14.5,11.5,600.0,1080.0
