Month,DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,UniqueCarrier,CRSElapsedTime,Origin,Dest,Distance,ArrDelay15,Origin_Lat,Origin_Lon,Origin_State,Dest_Lat,Dest_Lon,Dest_State,Origin_dayl,Dest_dayl,Origin_prcp,Dest_prcp,Origin_srad,Dest_srad,Origin_swe,Dest_swe,Origin_tmax,Dest_tmax,Origin_tmin,Dest_tmin,Origin_vp,Dest_vp
9,8,1,1215,1400,MQ,45,ORD,GRR,137,False,41.979595,-87.90446417,IL,42.88081972,-85.52276778,MI,45273.6,45273.6,0.0,8.0,368.0,230.4,0.0,0.0,21.5,22.0,11.5,11.5,1360.0,1360.0
7,31,4,950,1250,MQ,120,ORD,ATL,606,True,41.979595,-87.90446417,IL,33.64044444,-84.42694444,GA,51148.8,49075.2,0.0,18.0,364.8,291.2,0.0,0.0,31.0,32.0,21.0,21.5,2480.0,2560.0
1,31,4,1840,2135,UA,115,ORD,RDU,647,True,41.979595,-87.90446417,IL,35.87763889,-78.78747222,NC,35251.2,36633.6,0.0,0.0,275.2,320.0,68.0,0.0,-5.5,11.0,-15.0,-3.0,200.0,480.0
9,19,5,1745,2105,AA,140,ORD,BOS,867,False,41.979595,-87.90446417,IL,42.3643475,-71.00517917,MA,43200.0,43200.0,0.0,0.0,374.4,336.0,0.0,0.0,25.0,16.5,13.0,7.0,1480.0,1000.0
7,25,5,805,855,MQ,50,ORD,MSN,109,False,41.979595,-87.90446417,IL,43.13985778,-89.33751361,WI,52185.6,52531.2,0.0,0.0,438.4,403.2,0.0,0.0,28.0,27.0,16.0,15.5,1800.0,1760.0
8,24,7,1800,2020,MQ,140,ORD,DAL,798,True,41.979595,-87.90446417,IL,32.84711389,-96.85177222,TX,47692.8,46310.4,0.0,0.0,400.0,416.0,0.0,0.0,27.0,34.5,16.0,22.5,1800.0,2360.0
1,29,2,1245,1545,MQ,120,ORD,BDL,783,False,41.979595,-87.90446417,IL,41.93887417,-72.68322833,CT,34905.6,34905.6,2.0,0.0,329.6,288.0,64.0,16.0,9.0,4.5,-7.0,-8.0,360.0,320.0
10,27,1,757,927,UA,90,ORD,OMA,416,False,41.979595,-87.90446417,IL,41.30251861,-95.89417306,NE,36979.2,36979.2,0.0,0.0,246.4,256.0,0.0,0.0,10.5,9.0,1.5,-2.0,680.0,520.0
6,10,2,951,1211,UA,200,ORD,SLC,1249,True,41.979595,-87.90446417,IL,40.78838778,-111.9777731,UT,53913.6,53568.0,1.0,0.0,390.4,524.8,0.0,0.0,25.0,25.0,15.0,9.0,1720.0,680.0
7,24,4,855,1112,UA,257,ORD,LAX,1745,True,41.979595,-87.90446417,IL,33.94253611,-118.4080744,CA,52185.6,49766.4,0.0,0.0,476.8,467.2,0.0,0.0,27.0,24.0,13.5,16.5,1560.0,720.0
9,6,6,1445,1818,XE,153,ORD,EWR,719,True,41.979595,-87.90446417,IL,40.69249722,-74.16866056,NJ,45619.2,45273.6,0.0,53.0,380.8,224.0,0.0,0.0,22.5,29.5,12.0,20.0,1400.0,2320.0
3,27,4,1214,1415,OO,121,ORD,ICT,588,True,41.979595,-87.90446417,IL,37.64995889,-97.43304583,KS,44236.8,44236.8,5.0,0.0,358.4,294.4,84.0,0.0,10.0,15.5,0.0,6.5,600.0,960.0
8,31,7,1227,1406,OO,99,ORD,LNK,466,True,41.979595,-87.90446417,IL,40.85097222,-96.75925,NE,46656.0,46310.4,0.0,0.0,441.6,416.0,0.0,0.0,30.5,32.0,15.5,16.0,1760.0,1800.0
8,16,6,1056,1342,UA,106,ORD,IAD,589,False,41.979595,-87.90446417,IL,38.94453194,-77.45580972,VA,49075.2,48384.0,0.0,0.0,454.4,419.2,0.0,0.0,26.5,28.0,13.5,15.0,1560.0,1720.0
8,16,6,1745,2018,OO,213,ORD,MSO,1332,False,41.979595,-87.90446417,IL,46.91630556,-114.0905556,MT,49075.2,50112.0,0.0,0.0,454.4,457.6,0.0,0.0,26.5,34.5,13.5,10.0,1560.0,960.0
8,9,6,955,1251,DL,116,ORD,ATL,606,False,41.979595,-87.90446417,IL,33.64044444,-84.42694444,GA,50112.0,48384.0,0.0,0.0,403.2,489.6,0.0,0.0,25.5,30.5,15.0,16.0,1720.0,1800.0
11,11,2,910,1100,MQ,50,ORD,GRR,137,False,41.979595,-87.90446417,IL,42.88081972,-85.52276778,MI,34905.6,34560.0,0.0,0.0,214.4,83.2,0.0,0.0,4.0,3.0,-4.5,-0.5,440.0,600.0
10,7,2,2139,2233,YV,54,ORD,ATW,160,True,41.979595,-87.90446417,IL,44.25740806,-88.51947556,WI,40089.6,40089.6,0.0,0.0,198.4,182.4,0.0,0.0,19.0,17.0,13.0,10.5,1480.0,1280.0
10,25,6,1302,1618,UA,136,ORD,PVD,849,False,41.979595,-87.90446417,IL,41.72399917,-71.42822111,RI,37324.8,37324.8,6.0,0.0,150.4,310.4,0.0,0.0,12.5,18.0,5.5,3.0,920.0,760.0
6,5,4,1030,1115,MQ,45,ORD,MSN,109,False,41.979595,-87.90446417,IL,43.13985778,-89.33751361,WI,53913.6,54259.2,10.0,36.0,352.0,217.6,0.0,0.0,28.5,22.0,14.5,14.0,1640.0,1600.0
12,15,1,1530,1810,AS,280,ORD,SEA,1721,True,41.979595,-87.90446417,IL,47.44898194,-122.3093131,WA,32140.8,29721.6,6.0,0.0,201.6,112.0,24.0,0.0,5.0,-1.0,-15.0,-6.5,200.0,360.0
3,27,4,1505,1705,UA,240,ORD,LAS,1515,False,41.979595,-87.90446417,IL,36.08036111,-115.1523333,NV,44236.8,43891.2,5.0,0.0,358.4,444.8,84.0,0.0,10.0,27.5,0.0,12.5,600.0,520.0
3,3,1,1910,2000,MQ,50,ORD,CMI,135,True,41.979595,-87.90446417,IL,40.03925,-88.27805556,IL,40089.6,40435.2,11.0,5.0,358.4,345.6,112.0,4.0,14.0,16.0,-1.5,0.0,560.0,600.0
9,21,7,2110,2150,MQ,40,ORD,MKE,67,False,41.979595,-87.90446417,IL,42.94722222,-87.89658333,WI,42854.4,42854.4,0.0,0.0,358.4,326.4,0.0,0.0,26.5,25.0,14.5,14.5,1640.0,1640.0
7,16,3,1605,1945,UA,160,ORD,TPA,1012,False,41.979595,-87.90446417,IL,27.97547222,-82.53325,FL,52876.8,49075.2,0.0,39.0,400.0,211.2,0.0,0.0,32.0,29.0,20.5,23.5,2400.0,2880.0
3,6,4,1315,1603,YV,168,ORD,AUS,978,True,41.979595,-87.90446417,IL,30.19453278,-97.66987194,TX,40435.2,41472.0,0.0,1.0,348.8,396.8,116.0,0.0,2.0,19.0,-5.5,3.5,400.0,680.0
11,14,5,930,1223,US,113,ORD,CLT,599,True,41.979595,-87.90446417,IL,35.21401111,-80.94312583,NC,34560.0,36288.0,4.0,12.0,134.4,96.0,0.0,0.0,12.0,15.5,5.0,10.0,880.0,1240.0
5,22,4,1445,1619,UA,154,ORD,DEN,888,True,41.979595,-87.90446417,IL,39.85840806,-104.6670019,CO,52531.2,51840.0,0.0,1.0,406.4,553.6,0.0,0.0,16.5,27.5,6.5,7.0,960.0,360.0
3,31,1,1041,1413,UA,152,ORD,MCO,1005,False,41.979595,-87.90446417,IL,28.42888889,-81.31602778,FL,44928.0,44236.8,8.0,0.0,332.8,368.0,76.0,0.0,11.5,27.5,3.0,17.5,760.0,2000.0
11,14,5,2205,2255,MQ,50,ORD,CMI,135,False,41.979595,-87.90446417,IL,40.03925,-88.27805556,IL,34560.0,34905.6,4.0,7.0,134.4,112.0,0.0,0.0,12.0,12.5,5.0,6.0,880.0,920.0
2,11,1,1110,1400,MQ,110,ORD,CLT,599,False,41.979595,-87.90446417,IL,35.21401111,-80.94312583,NC,36633.6,38016.0,0.0,0.0,278.4,377.6,76.0,0.0,-12.5,15.0,-20.0,-2.5,120.0,520.0
8,3,7,645,820,MQ,95,ORD,MEM,491,False,41.979595,-87.90446417,IL,35.04241667,-89.97666667,TN,50803.2,49075.2,0.0,0.0,432.0,406.4,0.0,0.0,28.0,37.0,16.0,24.0,1800.0,3000.0
4,2,3,1220,1441,UA,261,ORD,LAX,1745,True,41.979595,-87.90446417,IL,33.94253611,-118.4080744,CA,45273.6,44928.0,0.0,1.0,515.2,364.8,72.0,0.0,8.0,17.0,-2.5,9.5,520.0,1200.0
9,18,4,1210,1433,UA,263,ORD,SEA,1721,False,41.979595,-87.90446417,IL,47.44898194,-122.3093131,WA,43545.6,43545.6,0.0,0.0,371.2,217.6,0.0,0.0,25.0,18.5,13.5,12.0,1560.0,1400.0
10,22,3,1040,1235,MQ,55,ORD,TOL,214,False,41.979595,-87.90446417,IL,41.58680556,-83.80783333,OH,37670.4,37670.4,0.0,0.0,249.6,275.2,0.0,0.0,12.0,11.0,3.0,-2.0,760.0,520.0
11,3,1,1810,2154,CO,164,ORD,EWR,719,False,41.979595,-87.90446417,IL,40.69249722,-74.16866056,NJ,35942.4,36288.0,0.0,1.0,227.2,217.6,0.0,0.0,21.5,13.5,11.5,4.0,1360.0,800.0
7,22,2,600,846,OO,106,ORD,SYR,607,False,41.979595,-87.90446417,IL,43.11118694,-76.10631056,NY,52531.2,52876.8,3.0,5.0,275.2,265.6,0.0,0.0,26.0,26.5,17.0,17.0,1920.0,1920.0
9,15,1,955,1121,UA,86,ORD,OMA,416,True,41.979595,-87.90446417,IL,41.30251861,-95.89417306,NE,43891.2,43891.2,19.0,0.0,182.4,406.4,0.0,0.0,18.5,19.5,12.5,5.5,1440.0,920.0
1,18,5,1830,2107,UA,277,ORD,SFO,1846,False,41.979595,-87.90446417,IL,37.61900194,-122.3748433,CA,33523.2,34905.6,2.0,0.0,281.6,288.0,52.0,0.0,-0.5,16.0,-13.5,4.5,200.0,840.0
8,16,6,1125,1335,AA,190,ORD,SLC,1249,False,41.979595,-87.90446417,IL,40.78838778,-111.9777731,UT,49075.2,48729.6,0.0,0.0,454.4,428.8,0.0,0.0,26.5,29.0,13.5,15.0,1560.0,640.0
10,14,2,1843,2117,UA,94,ORD,BUF,473,False,41.979595,-87.90446417,IL,42.94052472,-78.73216667,NY,39052.8,38707.2,0.0,0.0,281.6,310.4,0.0,0.0,23.0,22.5,12.0,8.5,1400.0,1120.0
2,29,5,1445,1546,OO,61,ORD,CWA,213,True,41.979595,-87.90446417,IL,44.77761917,-89.66677944,WI,39744.0,39052.8,4.0,4.0,332.8,256.0,116.0,124.0,2.5,-3.0,-9.0,-13.5,320.0,200.0
12,19,5,2134,2235,YV,61,ORD,CID,196,True,41.979595,-87.90446417,IL,41.88458833,-91.71087222,IA,32140.8,32140.8,19.0,17.0,156.8,124.8,52.0,36.0,-0.5,-3.5,-10.0,-11.5,280.0,240.0
9,26,5,1630,1730,MQ,60,ORD,CID,196,False,41.979595,-87.90446417,IL,41.88458833,-91.71087222,IA,42163.2,42163.2,0.0,0.0,345.6,380.8,0.0,0.0,25.5,27.5,13.5,11.5,1560.0,1360.0
1,15,2,1710,1800,MQ,50,ORD,CMI,135,False,41.979595,-87.90446417,IL,40.03925,-88.27805556,IL,33523.2,34214.4,0.0,0.0,195.2,201.6,52.0,0.0,-3.0,-3.0,-10.5,-12.0,280.0,240.0
