Month,DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,UniqueCarrier,CRSElapsedTime,Origin,Dest,Distance,ArrDelay15
3,30,7,820,930,MQ,70,DFW,LIT,304,True
8,18,1,1940,2118,US,98,CLT,BUF,546,False
7,16,3,2345,555,CO,250,SEA,IAH,1874,False
1,16,3,1910,2140,YV,90,BFL,PHX,425,True
5,6,2,1935,2102,B6,87,ROC,JFK,264,False
9,8,1,1215,1400,MQ,45,ORD,GRR,137,False
2,21,4,1756,1957,UA,241,BWI,DEN,1491,False
11,26,3,728,829,OO,61,FAT,SFO,158,False
11,12,3,1505,1635,WN,90,LAS,SJC,386,False
7,31,4,950,1250,MQ,120,ORD,ATL,606,True
1,31,4,1840,2135,UA,115,ORD,RDU,647,True
9,19,5,1745,2105,AA,140,ORD,BOS,867,False
1,31,4,550,717,B6,87,BUF,JFK,301,False
10,24,5,810,1115,9E,125,BHM,DTW,625,False
6,25,3,1514,1614,NW,120,DTW,MEM,610,True
5,27,2,1850,2157,9E,127,MEM,RIC,726,False
2,16,6,1013,1345,NW,152,MSP,ATL,906,False
3,10,1,1720,2023,9E,123,OMA,DTW,651,False
1,10,4,1235,1334,EV,59,ATL,CAE,191,False
1,3,4,700,1006,OH,126,OKC,CVG,756,False
1,22,2,1437,1613,UA,156,DEN,OAK,957,False
2,18,1,1605,1656,HA,51,HNL,ITO,216,False
12,21,7,910,1050,WN,100,SLC,DEN,391,False
1,31,4,1314,1420,F9,126,MSP,DEN,680,False
3,21,5,2019,2305,CO,226,EWR,MSY,1167,False
1,1,2,910,1155,XE,165,EWR,SAV,708,False
12,13,6,927,1140,9E,73,JAN,ATL,341,False
12,4,4,1130,1145,WN,75,BOI,PDX,344,False
11,20,4,1705,2315,WN,250,PHX,BWI,1999,False
6,11,3,910,1429,CO,199,LAX,IAH,1379,False
12,15,1,550,714,B6,84,BUF,JFK,301,False
2,25,1,2030,2218,DL,108,ATL,PBI,545,False
8,31,7,1750,1925,UA,155,DEN,SFO,967,False
3,14,5,1210,1519,EV,129,MSN,ATL,707,False
1,25,5,2115,2358,AS,163,LAX,SEA,954,True
2,26,2,2110,2144,AQ,34,OGG,HNL,100,False
9,18,4,1207,1324,EV,77,ATL,ROA,357,False
7,18,5,700,1020,MQ,140,XNA,DCA,963,True
4,6,7,840,1615,WN,275,LAS,BWI,2106,False
6,12,4,1332,1535,XE,123,STL,IAH,668,False
5,15,4,700,1019,DL,379,JFK,LAX,2475,False
9,9,2,1915,2110,NW,295,DTW,SEA,1927,False
11,26,3,1128,1236,US,128,PHX,OAK,646,True
4,17,4,1850,1952,DL,62,ATL,TLH,223,False
5,11,7,825,1040,FL,255,MKE,LAX,1756,False
7,12,6,1650,1800,AA,190,DFW,LAX,1235,False
6,6,5,1655,1900,MQ,125,MLI,DFW,691,False
1,16,3,1822,2025,YV,123,GJT,PHX,438,False
6,4,3,1720,2226,CO,246,AUS,EWR,1504,False
10,11,6,655,830,WN,95,SAN,OAK,446,False
8,9,6,830,940,MQ,70,HOU,DFW,247,False
12,6,6,2300,628,DL,268,SFO,ATL,2139,False
12,4,4,1500,1630,OO,90,SLC,GTF,463,False
2,10,7,1455,2230,US,275,LAS,PHL,2176,True
6,20,5,700,823,F9,83,DEN,SLC,391,False
6,3,2,1340,1430,WN,50,JAX,TPA,180,False
8,1,5,1025,1150,WN,85,OAK,SNA,371,False
1,12,6,1005,1235,AA,150,AUS,ORD,978,False
8,25,1,1728,1938,UA,310,IAD,LAS,2066,False
4,5,6,1110,1335,AA,205,FLL,ORD,1182,False
5,11,7,1419,1614,FL,115,ATL,DTW,594,False
