AGE,WORKCLASS,EDUCATION-NUM,MARITAL STATUS,OCCUPATION,RELATIONSHIP,RACE,SEX,CAPITAL GAIN,CAPITAL LOSS,HOURS PER WEEK,COUNTRY,SHOULD_APPROVE
39.0,7,13.0,4,1,0,4,1,2174.0,0.0,40.0,39,False
50.0,6,13.0,2,4,4,4,1,0.0,0.0,13.0,39,False
38.0,4,9.0,0,6,0,4,1,0.0,0.0,40.0,39,False
53.0,4,7.0,2,6,4,2,1,0.0,0.0,40.0,39,False
28.0,4,13.0,2,10,5,2,0,0.0,0.0,40.0,5,False
37.0,4,14.0,2,4,5,4,0,0.0,0.0,40.0,39,False
49.0,4,5.0,3,8,0,2,0,0.0,0.0,16.0,23,False
52.0,6,9.0,2,4,4,4,1,0.0,0.0,45.0,39,True
31.0,4,14.0,4,10,0,4,0,14084.0,0.0,50.0,39,True
42.0,4,13.0,2,4,4,4,1,5178.0,0.0,40.0,39,True
37.0,4,10.0,2,4,4,2,1,0.0,0.0,80.0,39,True
30.0,7,13.0,2,10,4,1,1,0.0,0.0,40.0,19,True
23.0,4,13.0,4,1,3,4,0,0.0,0.0,30.0,39,False
32.0,4,12.0,4,12,0,2,1,0.0,0.0,50.0,39,False
40.0,4,11.0,2,3,4,1,1,0.0,0.0,40.0,0,True
34.0,4,4.0,2,14,4,0,1,0.0,0.0,45.0,26,False
25.0,6,9.0,4,5,3,4,1,0.0,0.0,35.0,39,False
32.0,4,9.0,4,7,1,4,1,0.0,0.0,40.0,39,False
38.0,4,7.0,2,12,4,4,1,0.0,0.0,50.0,39,False
43.0,6,14.0,0,4,1,4,0,0.0,0.0,45.0,39,True
40.0,4,16.0,2,10,4,4,1,0.0,0.0,60.0,39,True
54.0,4,9.0,5,8,1,2,0,0.0,0.0,20.0,39,False
35.0,1,5.0,2,5,4,2,1,0.0,0.0,40.0,39,False
43.0,4,7.0,2,14,4,4,1,0.0,2042.0,40.0,39,False
59.0,4,9.0,0,13,1,4,0,0.0,0.0,40.0,39,False
56.0,2,13.0,2,13,4,4,1,0.0,0.0,40.0,39,True
19.0,4,9.0,4,3,3,4,1,0.0,0.0,40.0,39,False
54.0,0,10.0,2,0,4,1,1,0.0,0.0,60.0,35,True
39.0,4,9.0,0,4,0,4,1,0.0,0.0,80.0,39,False
49.0,4,9.0,2,3,4,4,1,0.0,0.0,40.0,39,False
23.0,2,12.0,4,11,0,4,1,0.0,0.0,52.0,39,False
20.0,4,10.0,4,12,3,2,1,0.0,0.0,44.0,39,False
45.0,4,13.0,0,4,3,4,1,0.0,1408.0,40.0,39,False
30.0,1,10.0,2,1,3,4,1,0.0,0.0,40.0,39,False
22.0,7,10.0,2,8,4,2,1,0.0,0.0,15.0,39,False
48.0,4,7.0,4,7,1,4,1,0.0,0.0,40.0,33,False
21.0,4,10.0,4,7,3,4,1,0.0,0.0,40.0,39,False
19.0,4,9.0,1,1,5,4,0,0.0,0.0,25.0,39,False
31.0,4,10.0,2,12,4,4,1,0.0,0.0,38.0,0,True
48.0,6,12.0,2,10,4,4,1,0.0,0.0,40.0,39,False
31.0,4,5.0,2,7,4,4,1,0.0,0.0,43.0,39,False
53.0,6,13.0,2,10,4,4,1,0.0,0.0,40.0,39,False
24.0,4,13.0,2,13,4,4,1,0.0,0.0,50.0,39,False
49.0,4,9.0,5,1,1,4,0,0.0,0.0,40.0,39,False
25.0,4,9.0,4,6,0,4,1,0.0,0.0,35.0,39,False
57.0,1,13.0,2,10,4,2,1,0.0,0.0,40.0,39,True
53.0,4,9.0,2,7,4,4,1,0.0,0.0,38.0,39,False
44.0,4,14.0,0,4,1,4,0,0.0,0.0,40.0,39,False
41.0,7,11.0,2,3,4,4,1,0.0,0.0,40.0,39,False
29.0,4,11.0,4,10,0,4,1,0.0,0.0,43.0,39,False
25.0,4,10.0,2,4,5,3,0,0.0,0.0,40.0,39,False
18.0,4,9.0,4,8,3,4,0,0.0,0.0,30.0,0,False
47.0,4,15.0,2,10,5,4,0,0.0,1902.0,60.0,16,True
50.0,1,13.0,0,4,0,4,1,0.0,0.0,55.0,39,True
47.0,5,9.0,0,4,0,4,1,0.0,0.0,60.0,39,False
43.0,4,10.0,2,13,4,4,1,0.0,0.0,40.0,39,True
46.0,4,3.0,2,7,4,4,1,0.0,0.0,40.0,26,False
35.0,4,11.0,2,8,4,4,1,0.0,0.0,40.0,33,False
41.0,4,9.0,2,1,4,4,1,0.0,0.0,48.0,39,False
30.0,4,9.0,2,7,4,4,1,5013.0,0.0,40.0,39,False
30.0,4,13.0,2,12,4,4,1,2407.0,0.0,40.0,39,False
32.0,0,4.0,3,0,0,4,1,0.0,0.0,40.0,0,False
48.0,4,9.0,2,14,4,4,1,0.0,0.0,40.0,39,False
42.0,4,16.0,2,10,4,4,1,0.0,0.0,45.0,39,True
29.0,4,10.0,0,13,0,4,1,0.0,0.0,58.0,39,False
36.0,4,9.0,2,3,4,4,1,0.0,0.0,40.0,39,False
28.0,4,10.0,0,1,0,4,0,0.0,0.0,40.0,39,False
53.0,4,9.0,2,1,5,4,0,0.0,0.0,40.0,39,True
49.0,5,10.0,2,4,4,4,1,0.0,0.0,50.0,39,True
25.0,0,10.0,4,0,3,4,1,0.0,0.0,40.0,39,False
19.0,4,10.0,4,10,3,4,1,0.0,0.0,32.0,39,False
31.0,4,13.0,5,12,3,2,0,0.0,0.0,40.0,39,False
29.0,6,13.0,2,12,4,4,1,0.0,0.0,70.0,39,True
23.0,4,10.0,4,7,0,4,1,0.0,0.0,40.0,39,False
79.0,4,10.0,2,10,2,4,1,0.0,0.0,20.0,39,False
27.0,4,9.0,4,8,3,4,1,0.0,0.0,40.0,26,False
40.0,4,12.0,2,1,4,4,1,0.0,0.0,40.0,39,False
67.0,0,6.0,2,0,4,4,1,0.0,0.0,2.0,39,False
18.0,4,7.0,4,8,3,4,0,0.0,0.0,22.0,39,False
31.0,2,4.0,2,5,4,4,1,0.0,0.0,40.0,39,False
18.0,4,9.0,4,12,0,4,1,0.0,0.0,30.0,39,False
52.0,4,13.0,2,8,4,4,1,0.0,0.0,40.0,5,False
46.0,4,9.0,2,8,5,4,0,0.0,0.0,40.0,39,False
59.0,4,9.0,2,12,4,4,1,0.0,0.0,48.0,39,False
44.0,4,9.0,0,3,0,4,0,14344.0,0.0,40.0,39,True
53.0,4,9.0,0,12,3,4,0,0.0,0.0,35.0,39,False
49.0,2,9.0,2,11,4,4,1,0.0,0.0,40.0,39,True
33.0,4,14.0,2,10,4,4,1,0.0,0.0,50.0,39,False
30.0,4,5.0,4,12,0,4,1,0.0,0.0,40.0,39,False
43.0,1,16.0,4,10,0,4,0,0.0,0.0,50.0,39,True
57.0,4,11.0,2,10,4,4,1,0.0,0.0,40.0,39,False
37.0,4,10.0,0,3,1,4,0,0.0,0.0,40.0,39,False
28.0,4,10.0,0,7,1,2,0,0.0,0.0,25.0,39,False
30.0,4,9.0,2,12,5,1,0,0.0,1573.0,35.0,0,False
34.0,2,13.0,2,11,4,4,1,0.0,0.0,40.0,39,True
29.0,2,10.0,4,6,0,4,1,0.0,0.0,50.0,39,False
48.0,6,16.0,2,10,4,4,1,0.0,1902.0,60.0,39,True
37.0,4,10.0,2,12,4,4,1,0.0,0.0,48.0,39,True
48.0,4,12.0,0,4,1,4,0,0.0,0.0,40.0,9,False
32.0,1,9.0,4,8,3,2,1,0.0,0.0,40.0,39,False
76.0,4,14.0,2,4,4,4,1,0.0,0.0,40.0,39,True
44.0,4,13.0,2,4,4,4,1,15024.0,0.0,60.0,39,True
47.0,6,14.0,4,10,0,4,0,0.0,0.0,50.0,39,False
20.0,4,10.0,4,13,3,4,0,0.0,0.0,40.0,39,False
29.0,4,9.0,4,3,0,4,1,0.0,0.0,40.0,39,False
32.0,5,9.0,2,3,4,4,1,7688.0,0.0,40.0,39,True
17.0,0,6.0,4,0,3,4,0,34095.0,0.0,32.0,39,False
30.0,4,7.0,4,6,3,4,1,0.0,0.0,40.0,39,False
31.0,2,9.0,4,1,0,4,0,0.0,0.0,40.0,39,False
42.0,4,9.0,2,6,4,4,1,0.0,0.0,40.0,39,False
24.0,4,13.0,4,12,2,4,1,0.0,0.0,40.0,39,False
38.0,4,15.0,2,10,4,4,1,0.0,0.0,40.0,39,True
56.0,6,9.0,2,8,4,4,1,0.0,1887.0,50.0,2,True
28.0,4,10.0,2,12,5,4,0,4064.0,0.0,25.0,39,False
36.0,4,9.0,4,7,3,4,0,0.0,0.0,40.0,39,False
53.0,4,5.0,2,6,4,4,1,0.0,0.0,50.0,39,False
56.0,5,10.0,2,12,4,4,1,0.0,0.0,50.0,39,False
49.0,2,11.0,2,3,4,2,1,0.0,0.0,40.0,39,True
55.0,4,10.0,2,12,4,4,1,0.0,0.0,56.0,39,False
22.0,4,9.0,4,3,0,4,1,0.0,0.0,41.0,39,False
21.0,4,10.0,4,8,3,4,0,0.0,0.0,40.0,39,False
40.0,4,13.0,2,4,4,4,1,0.0,0.0,60.0,39,False
30.0,4,13.0,4,4,3,2,1,0.0,0.0,40.0,11,False
29.0,7,13.0,2,10,4,4,1,0.0,0.0,50.0,39,True
19.0,4,10.0,4,8,3,2,1,0.0,0.0,35.0,39,False
47.0,4,13.0,2,4,5,4,0,0.0,0.0,40.0,39,True
20.0,4,10.0,4,1,3,4,0,0.0,1719.0,28.0,39,False
31.0,4,12.0,2,1,4,4,1,0.0,0.0,40.0,39,True
35.0,0,9.0,2,0,4,4,1,0.0,0.0,40.0,39,False
39.0,4,10.0,0,3,0,4,1,0.0,0.0,40.0,39,False
28.0,4,12.0,4,12,0,4,0,0.0,0.0,60.0,39,False
24.0,4,9.0,4,8,0,4,0,0.0,1762.0,40.0,39,False
38.0,6,9.0,2,3,4,4,1,4386.0,0.0,35.0,39,False
37.0,4,13.0,2,12,4,4,1,0.0,0.0,50.0,39,False
46.0,4,12.0,0,13,0,2,0,0.0,0.0,36.0,39,False
38.0,1,14.0,2,10,4,4,1,0.0,0.0,40.0,20,True
43.0,6,9.0,2,3,4,4,1,0.0,0.0,60.0,39,False
27.0,4,11.0,2,1,5,4,0,0.0,0.0,35.0,39,False
20.0,4,10.0,4,12,3,4,1,0.0,0.0,20.0,39,False
49.0,4,10.0,2,3,4,1,1,0.0,0.0,40.0,39,True
61.0,5,9.0,2,3,4,4,1,0.0,0.0,40.0,39,False
27.0,4,10.0,4,12,3,4,0,0.0,0.0,40.0,39,False
19.0,4,10.0,4,8,3,4,1,0.0,0.0,30.0,26,False
45.0,4,11.0,4,10,0,4,0,0.0,1564.0,40.0,39,True
70.0,4,10.0,4,13,2,4,1,0.0,0.0,40.0,39,False
31.0,4,9.0,4,14,1,2,0,0.0,0.0,30.0,39,False
22.0,4,10.0,2,8,4,4,1,0.0,0.0,24.0,39,False
36.0,4,9.0,6,8,1,4,0,0.0,0.0,24.0,39,False
64.0,4,7.0,2,3,4,4,1,0.0,2179.0,40.0,39,False
43.0,0,10.0,0,0,0,4,0,0.0,0.0,40.0,39,False
47.0,2,10.0,0,1,1,4,0,0.0,0.0,38.0,26,False
34.0,4,9.0,4,1,0,4,0,0.0,0.0,40.0,39,False
33.0,4,13.0,4,4,2,1,0,0.0,0.0,40.0,30,False
21.0,4,9.0,4,3,3,4,1,0.0,0.0,35.0,39,False
52.0,0,9.0,0,0,0,4,1,0.0,0.0,45.0,39,True
48.0,4,9.0,2,3,4,4,1,0.0,0.0,46.0,39,False
23.0,4,13.0,4,6,0,4,1,0.0,0.0,40.0,39,False
